dish,cuisines,ingredients,reference 
tomato chutney,South_Indian,tomato& onion& ginger& garlic& sugar& salt& red chilli& garam masala& vinegar& vegetable oil,http://food.ndtv.com/recipe-tomato-chutney-555575
butter murruku,South_Indian,hee& Salt& asafoetida& Oil& fried gram& rice flour& Grease,http://www.padhuskitchen.com/2013/03/butter-murukku-easy-butter-murukku.html
mushroom curry,South_Indian,Button mushrooms& Onion& Tomato& Ginger& garlic& Turmeric Powder& Chilli Powder& Coriander powder& Garam masala powder& Coconut& Oil& Cloves& Cinnamon& Marathi Moggu& Curry leaves& Coriander leaves,http://www.padhuskitchen.com/2012/07/mushroom-masala-mushroom-gravy-mushroom.html
cauliflower curry,North_Indian,Cauliflower& Onion& omato& Potato& Ginger& Green chilli& Salt& Coriander Powder& Chilli Powder& Turmeric& Oil& Cumin seeds,http://www.padhuskitchen.com/2010/01/cauliflower-curry_24.html
white sauce pasta,North_Indian,pasta fettuccine& cream& chopped garlic& olive oil& capsicum red& capsicum yellow& broccoli& parsley chopped& Salt& black pepper,http://food.ndtv.com/recipe-white-sauce-pasta-777846
paneer cutlet,North_Indian,Paneer& Green Chilli& Ginger& garlic& Black Pepper& Curd& Salt& Cornflour& Bread Crumbs& Oil,http://www.padhuskitchen.com/2015/09/paneer-cutlet-bread-paneer-cutlet_25.html
rava pongal,South_Indian,Rava& Moong dal& Ginger& black pepper& Cumin seeds& Ghee& Cashew nuts& Salt,http://www.padhuskitchen.com/2011/07/rava-pongal-rava-pongal-recipe-sooji.html
Lime Pickle,Srilankan,Limes& Sugar& Salt& Vinegar,http://ediblyasian.info/recipes/lime-pickle
Isso Badhuma,Srilankan,Oil& Onion& Prawns& Garlic& Curry powder& Chili powder& Turmeric& Coconut milk& Green chilies& Coriander leaves& Tomatoes& Salt& Lemon juice,http://ediblyasian.info/recipes/isso-badhuma-dry-prawn-curry-
String Hopper Biriyani,Srilankan,string hoppers& coconut milk& carrot& leek& onion& ghee& garlic& ginger& cardamom pods& cinnamon& cloves& rampe& curry leaf& salt& prawns& omelette,http://ediblyasian.info/recipes/string-hopper-biriyani
Mixed Vegetable Stew with Mustard,Srilankan,Black mustard seeds& vegetable stock& Ghee& Green chilies& ginger& Cumin seeds& Nigella seeds& Fennel seeds& Turmeric& coriander& yellow pumpkin& Green beans& Cauliflower sprigs& carrot& Potato& sweet potato& Salt& Cassia leaf& Brown sugar& coriander leaves& black pepper& Lime,http://ediblyasian.info/recipes/mixed-vegetable-stew-with-mustard
Curried Diced Liver,Srilankan,Calves' liver& Black peppercorns& Salt& Ghee& onion& Garlic& ginger& Lemon grass& lemon& cloves& black pepper& Ground cinnamon& Curry leaves& Vinegar& Coconut milk& dill weed,http://ediblyasian.info/recipes/curried-diced-liver
Creamy Chilli Spicy Dressing,Srilankan,mayonnaise& Sriracha& Tabasco& lemon& soy sauce,http://ediblyasian.info/recipes/creamy-chilli-spicy-dressing
Chili Sauce,Srilankan,Tomato sauce& Ginger& Garlic& Chili powder& Sugar& Vinegar& Salt,http://ediblyasian.info/recipes/chili-sauce-sri-lanka-
Coconut Sambol,Srilankan,coconut& onions& green chilli& garlic& red chilli powder& Salt& Maldives' fish& lime,http://ediblyasian.info/recipes/coconut-sambol-a-sri-lanka-moist-condiment-
Seeni Sambol,Srilankan,Onions& Maldives Fish& Ginger root& garlic& red Chillies& cardamoms& cloves& Curry leaves& Rampe& Sera& Cinnamon& Salt& Tamarind& Sugar& Vegetable oil,http://ediblyasian.info/recipes/seeni-sambol-srilankan-aromatic-spicy-dip-
Curry Leaf Sambol,Srilankan,curry leaves& salt& green chillies& ginger& garlic& shallots& tamarind,http://ediblyasian.info/recipes/curry-leaf-sambol-srilankan-side-dish-
Tamil Nadu Curry Powder,Srilankan,cumin seeds& mustard seeds& fenugreek seeds& urad dal& peas& curry leav& black peppercorns& dry chili pods& coriander& turmeric,http://ediblyasian.info/recipes/tamil-nadu-curry-powder-recipe
Beetroot Curry,Srilankan,Beetroot& oil& mustard seed& fenugreek seeds& curry leaves& onion& green chillies& chilli powder& milk& water& salt,http://ediblyasian.info/recipes/beetroot-curry
Eggplant Curry with Cashews,Srilankan,eggplant& oil& ghee& salt& turmeric& chillie powder& onion& garlic& curry leaves& milk& mustard seeds& fenugreek seeds& cashew nuts& green chilli,http://ediblyasian.info/recipes/eggplant-curry-with-cashews
Ala Dosi,Srilankan,Sugar& Milk& sweetened condensed Milk& butter& Potato& Cashew nuts& rose water& Cardamom,http://ediblyasian.info/recipes/ala-dosi
Cashew Curry,Srilankan,raw Cashews& water& Onion& green Chilies& Garlic& Curry leaves& Vegetable oil& turmeric& masala& Coconut milk,http://ediblyasian.info/recipes/cashew-curry-sri-lanka-
Egg Hoppers,Srilankan,white long grain Rice& white Rice& Yeast& Sugar& water& Coconut milk& Eggs,http://ediblyasian.info/recipes/egg-hoppers
String Hoppers,Srilankan,flour& salt& water,http://ediblyasian.info/recipes/string-hoppers
Mixed Vegetable Pickle,Srilankan,eggplant& salt& turmeric powder& oil& carrot& cauliflower florets& red pepper& onion& garlic& ginger& mustard seeds& vinegar& chilli powder& sugar& turmeric powder& pineapple pieces,http://ediblyasian.info/recipes/mixed-vegetable-pickle
Ala Badun,Srilankan,Potatoes& Onion& Salt& Turmeric& Chile powder& Paprika& Oil& Curry leaf& Mustard seed& Cinnamon stick& Lime,http://ediblyasian.info/recipes/ala-badun-devilled-potato-and-onions-
Horseradish Sauce,Srilankan,cream& salt& horseradish,http://ediblyasian.info/recipes/horseradish-sauce
Basic Srilankan or Raw Curry Masala,Srilankan,Coriander seeds& Cummin& Fennel,http://ediblyasian.info/recipes/basic-srilankan-or-raw-curry-masala
Sinhalese Beef Curry,Srilankan,Stewing beef& Vinegar& Ginger root& Salt& black pepper& Curry powder& dry red Chili powder& Cardamoms& Cloves& Curry leaves& Rampe& Cinnamon& Onion& Vegetable oil& Tomato paste& Coconut milk,http://ediblyasian.info/recipes/sinhalese-beef-curry-
Sinhalese Crab Curry (Kakuluwo Curry),Srilankan,crabs& onions& Garlic& ginger& Fenugreek seeds& Curry leaves& cinnamon& Chili powder& turmeric& Salt& Thin coconut milk& Desiccated coconut& Ground rice& Thick coconut milk& Lemon,http://ediblyasian.info/recipes/sinhalese-crab-curry-recipe-kakuluwo-curry-
Honey Baked Sri Lankan Chicken,Srilankan,chicken pieces& soy sauce& soy oil& chilli powder& Sarogini’s curry powder& ginger& garlic& salt& honey& sherry& butter,http://ediblyasian.info/recipes/honey-baked-sri-lankan-chicken
Malu Paan,Srilankan,Bread Mix& Tuna& Onion& green Chilli& Rampe& Cinnamon& Ginger& Garlic& Vegetable oil& Salt& Pepper& Cardamom powder& Potatoes,http://ediblyasian.info/recipes/malu-paan-srilankan-savoury-fish-rolled-bread-or-bread-rolls-
Hathu Curry,Srilankan,Mushrooms& Bell peppers& Onion& Salt& masala powder& Turmeric& Chillie powder& cooking Oil,http://ediblyasian.info/recipes/hathu-curry-curried-mushrooms-
Traditional Christmas Cake of Sri-Lanka,Srilankan,raisins& fruit& ginger& chow chow& citrus peel& cherries& almonds& brandy& butter& sugar& egg yolks& egg whites& lemon rind& cardamom& nutmeg& cloves& vanilla essence& almond essence& rose essence& Golden Syrup& semolina flour,http://ediblyasian.info/recipes/traditional-christmas-cake-of-sri-lanka
Pol Roti,Srilankan,flour& bread flour& coconut shreds& salt& water& onion& green chillies& Butter,http://ediblyasian.info/recipes/pol-roti
Godhamba Roti,Srilankan,Flour& salt& water& Vegetable oil,http://ediblyasian.info/recipes/godhamba-roti-srilankan-savoury-pancakes-
Koththu Roti,Srilankan,Godhamba Roti& Curried meat& chicken breast& eggs& onion& green peppers& tomatoes& curry leaves& Rampe& Vegetable oil& Salt& pepper,http://ediblyasian.info/recipes/koththu-roti-srilankan-savoury-pancakes-
